station_name,station_id,latitude,longitude
Broadway & Whipple St,4883.03,40.7016657,-73.9437303
Broadway & W 48 St,6708.04,40.76017739537783,-73.98486793041229
6 Ave & Walker St,5430.10,40.7197920901383,-74.0052238852195
Schermerhorn St & Court St,4565.07,40.6910363748993,-73.99201065301895
1 Ave & E 39 St,6303.01,40.74714,-73.97113
6 Ave & Canal St,5500.07,40.72243797,-74.00566443
W 52 St & 6 Ave,6740.01,40.76132983124814,-73.97982001304626
W 180 St & Ft Washington Ave,8358.03,40.849972,-73.938423
Graham Ave & Grand St,5178.06,40.711863,-73.944024
E 47 St & 2 Ave,6498.10,40.75323098,-73.97032517
W 34 St & Hudson Blvd E,6535.04,40.75516719072139,-74.00059908628464
E 43 St & Madison Ave,6551.11,40.75354681867074,-73.97896572947502
Mott St & Prince St,5561.04,40.72317958,-73.99480012
W 56 St & 8 Ave,6884.03,40.765959181657976,-73.98313522338867
Greenwich Ave & 8 Ave,6072.06,40.7390169121,-74.0026376103
Broadway & Morris St,5033.01,40.705945132708806,-74.01321887969969
Cleveland Pl & Spring St,5492.05,40.722103786686034,-73.99724900722504
N Moore St & Hudson St,5470.02,40.71996118117138,-74.00844320654869
