started_at,ended_at,start_station_name,end_station_name,member_casual,start_station_id,start_lat,start_lng,end_station_id,end_lat,end_lng
2020-01-01 03:38:23.0290,2020-01-01 03:42:50.3310,Newark Ave,Monmouth and 6th,member,JC032,40.72152515,-74.046304543,JC075,40.72568548362901,-74.04879033565521
2020-01-01 04:01:42.6030,2020-01-01 04:04:36.3850,Hamilton Park,Manila & 1st,member,JC009,40.727468014,-74.044262052,JC082,40.72165072487999,-74.04288411140442
2020-01-01 04:16:56.6940,2020-01-01 04:19:56.5780,Sip Ave,McGinley Square,casual,,,,JC055,40.725471616,-74.067588806
2020-01-01 05:24:18.1780,2020-01-01 05:31:29.2110,Sip Ave,Pershing Field,member,,,,JC024,40.742677141,-74.051788633
2020-01-01 05:59:10.2200,2020-01-01 06:06:56.3240,Sip Ave,Bergen Ave,member,,,,JC095,40.722096324,-74.071503639
2020-01-01 06:22:22.4370,2020-01-01 06:27:06.1560,Oakland Ave,Sip Ave,member,JC022,40.737587452,-74.052541852,,,
2020-01-01 06:34:00.2420,2020-01-01 06:45:04.4130,Fairmount Ave,Marin Light Rail,casual,JC093,40.72572613742557,-74.07195925712585,JC013,40.71458403535893,-74.04281705617905
2020-01-01 06:54:10.3420,2020-01-01 07:00:04.2690,Oakland Ave,Hoboken Ave at Monmouth St,member,JC022,40.737587452,-74.052541852,JC105,40.7406442,-74.04263161666667
2020-01-01 07:09:05.6760,2020-01-01 07:18:14.9940,McGinley Square,Grove St PATH,member,JC055,40.725471616,-74.067588806,JC115,40.719120622,-74.043265224
2020-01-01 07:43:04.4710,2020-01-01 07:47:52.7370,Sip Ave,Bergen Ave,member,,,,JC095,40.722096324,-74.071503639
2020-01-01 07:45:48.8180,2020-01-01 07:50:03.7700,Hilltop,Baldwin at Montgomery,member,JC019,40.731070995,-74.057455182,JC020,40.723555446,-74.064273596
2020-01-01 07:49:17.2310,2020-01-01 08:11:21.1400,Oakland Ave,Marin Light Rail,member,JC022,40.737587452,-74.052541852,JC013,40.71458403535893,-74.04281705617905
2020-01-01 08:01:45.6310,2020-01-01 08:11:11.2480,Baldwin at Montgomery,Grove St PATH,member,JC020,40.723555446,-74.064273596,JC115,40.719120622,-74.043265224
2020-01-01 08:10:35.5840,2020-01-01 08:28:57.5220,Hamilton Park,Hamilton Park,casual,JC009,40.727468014,-74.044262052,JC009,40.727468014,-74.044262052
2020-01-01 08:12:03.8760,2020-01-01 08:27:46.9330,5 Corners Library,Newport PATH,member,JC018,40.735029578,-74.059714556,JC066,40.727172375,-74.033681631
2020-01-01 08:31:24.6800,2020-01-01 08:42:04.3570,Riverview Park,Brunswick & 6th,member,JC057,40.74473989,-74.043800712,JC081,40.726179719,-74.050368905
2020-01-01 08:38:09.4260,2020-01-01 08:40:22.7860,Grove St PATH,Newark Ave,member,JC115,40.719120622,-74.043265224,JC032,40.72152515,-74.046304543
2020-01-01 08:43:04.0760,2020-01-01 08:44:06.8760,Jersey & 3rd,Newark Ave,member,JC074,40.72333158646436,-74.04595255851744,JC032,40.72152515,-74.046304543
2020-01-01 08:46:27.6180,2020-01-01 08:47:36.4210,Jersey & 3rd,Newark Ave,member,JC074,40.72333158646436,-74.04595255851744,JC032,40.72152515,-74.046304543
2020-01-01 08:48:28.7000,2020-01-01 08:52:44.5620,Hamilton Park,Grove St PATH,member,JC009,40.727468014,-74.044262052,JC115,40.719120622,-74.043265224
2020-01-01 08:49:20.9590,2020-01-01 08:51:02.9830,Harborside,Columbus Dr at Exchange Pl,member,JC104,40.7192517,-74.034234,,,
2020-01-01 08:50:05.0080,2020-01-01 08:51:12.3030,Jersey & 3rd,Newark Ave,member,JC074,40.72333158646436,-74.04595255851744,JC032,40.72152515,-74.046304543
2020-01-01 08:51:12.6860,2020-01-01 08:59:24.9240,Van Vorst Park,Newport PATH,member,JC035,40.7184093,-74.04775238,JC066,40.727172375,-74.033681631
2020-01-01 08:51:17.5220,2020-01-01 08:53:57.5980,Newark Ave,Montgomery St,member,JC032,40.72152515,-74.046304543,JC099,40.719429255,-74.051070809
2020-01-01 09:09:45.2600,2020-01-01 09:13:49.8060,Brunswick & 6th,Manila & 1st,member,JC081,40.726179719,-74.050368905,JC082,40.72165072487999,-74.04288411140442
2020-01-01 09:53:00.5110,2020-01-01 09:58:36.5690,Hamilton Park,Columbus Drive,member,JC009,40.727468014,-74.044262052,JC014,40.718622446,-74.038507938
2020-01-01 09:53:35.2720,2020-01-01 09:59:19.9520,Marin Light Rail,Columbus Dr at Exchange Pl,member,JC013,40.71458403535893,-74.04281705617905,,,
2020-01-01 09:55:46.7430,2020-01-01 10:00:33.1530,Grove St PATH,Washington St,member,JC115,40.719120622,-74.043265224,JC098,40.724321604,-74.035570741
2020-01-01 09:57:25.7130,2020-01-01 10:01:56.8290,Brunswick & 6th,Grove St PATH,member,JC081,40.726179719,-74.050368905,JC115,40.719120622,-74.043265224
2020-01-01 10:03:55.2970,2020-01-01 10:21:15.9780,Newport PATH,Morris Canal,member,JC066,40.727172375,-74.033681631,JC072,40.712296724,-74.038184762
2020-01-01 10:16:54.3080,2020-01-01 10:22:15.8400,Fairmount Ave,Sip Ave,member,JC093,40.72572613742557,-74.07195925712585,,,
2020-01-01 10:17:43.6750,2020-01-01 10:21:32.0970,Grove St PATH,Dixon Mills,member,JC115,40.719120622,-74.043265224,JC076,40.721630142638354,-74.04996782541275
2020-01-01 10:17:46.5920,2020-01-01 10:21:17.3830,Grove St PATH,Dixon Mills,member,JC115,40.719120622,-74.043265224,JC076,40.721630142638354,-74.04996782541275
2020-01-01 10:23:18.8590,2020-01-01 10:27:04.3750,Hamilton Park,Grove St PATH,member,JC009,40.727468014,-74.044262052,JC115,40.719120622,-74.043265224
2020-01-01 10:24:31.6720,2020-01-01 10:30:12.1150,Washington St,Paulus Hook,member,JC098,40.724321604,-74.035570741,JC002,40.714207768,-74.033581614
2020-01-01 10:29:10.7700,2020-01-01 10:33:31.6540,Monmouth and 6th,Washington St,member,JC075,40.72568548362901,-74.04879033565521,JC098,40.724321604,-74.035570741
2020-01-01 10:30:34.6490,2020-01-01 10:32:19.0600,Manila & 1st,Warren St,member,JC082,40.72165072487999,-74.04288411140442,JC006,40.7211236,-74.03805095
2020-01-01 10:31:21.9840,2020-01-01 10:33:37.2680,Van Vorst Park,Grove St PATH,member,JC035,40.7184093,-74.04775238,JC115,40.719120622,-74.043265224
2020-01-01 10:38:49.0630,2020-01-01 10:42:11.1380,Hamilton Park,Manila & 1st,member,JC009,40.727468014,-74.044262052,JC082,40.72165072487999,-74.04288411140442
2020-01-01 10:38:53.6050,2020-01-01 10:42:24.0410,Hamilton Park,Manila & 1st,member,JC009,40.727468014,-74.044262052,JC082,40.72165072487999,-74.04288411140442
2020-01-01 10:38:54.6990,2020-01-01 10:42:11.0210,Hamilton Park,Manila & 1st,member,JC009,40.727468014,-74.044262052,JC082,40.72165072487999,-74.04288411140442
2020-01-01 10:40:15.4350,2020-01-01 10:44:20.3600,Jersey & 3rd,Columbus Drive,member,JC074,40.72333158646436,-74.04595255851744,JC014,40.718622446,-74.038507938
2020-01-01 10:41:29.5760,2020-01-01 10:47:35.8970,Dixon Mills,Harborside,member,JC076,40.721630142638354,-74.04996782541275,JC104,40.7192517,-74.034234
2020-01-01 10:43:54.1490,2020-01-01 10:48:38.1700,Brunswick & 6th,Manila & 1st,member,JC081,40.726179719,-74.050368905,JC082,40.72165072487999,-74.04288411140442
2020-01-01 10:45:44.0610,2020-01-01 10:48:38.8880,Jersey & 6th St,Grove St PATH,member,JC027,40.72528910781132,-74.04557168483734,JC115,40.719120622,-74.043265224
2020-01-01 10:47:09.2370,2020-01-01 10:59:18.4290,Newport PATH,Harborside,member,JC066,40.727172375,-74.033681631,JC104,40.7192517,-74.034234
2020-01-01 10:49:53.0090,2020-01-01 10:58:06.6240,Hilltop,Hilltop,casual,JC019,40.731070995,-74.057455182,JC019,40.731070995,-74.057455182
2020-01-01 10:51:44.5360,2020-01-01 10:56:20.2570,Sip Ave,Glenwood Ave,member,,,,JC094,40.72755146730012,-74.07106071710587
2020-01-01 10:54:34.3340,2020-01-01 11:00:05.8400,Newport Pkwy,Columbus Drive,member,JC008,40.7287448,-74.0321082,JC014,40.718622446,-74.038507938
2020-01-01 10:54:35.1010,2020-01-01 10:59:49.7060,JC Medical Center,Dixon Mills,member,JC110,40.71539114317,-74.04969155788422,JC076,40.721630142638354,-74.04996782541275
2020-01-01 11:00:26.8880,2020-01-01 11:03:24.9510,Brunswick St,Grove St PATH,member,JC023,40.72402823,-74.050903082,JC115,40.719120622,-74.043265224
2020-01-01 11:02:17.2950,2020-01-01 11:07:09.6660,Manila & 1st,Brunswick & 6th,member,JC082,40.72165072487999,-74.04288411140442,JC081,40.726179719,-74.050368905
2020-01-01 11:03:42.7200,2020-01-01 11:10:49.7290,Warren St,Hamilton Park,member,JC006,40.7211236,-74.03805095,JC009,40.727468014,-74.044262052
2020-01-01 11:07:51.2550,2020-01-01 11:10:28.1040,Morris Canal,Paulus Hook,member,JC072,40.712296724,-74.038184762,JC002,40.714207768,-74.033581614
2020-01-01 11:08:49.0320,2020-01-01 11:20:33.6410,Harborside,Newport Pkwy,member,JC104,40.7192517,-74.034234,JC008,40.7287448,-74.0321082
2020-01-01 11:09:05.0310,2020-01-01 11:14:02.2320,Columbus Drive,Newport PATH,member,JC014,40.718622446,-74.038507938,JC066,40.727172375,-74.033681631
2020-01-01 11:09:36.0800,2020-01-01 11:14:51.7610,Christ Hospital,Journal Square,member,JC034,40.734785818,-74.050443636,JC103,40.733903646,-74.062683344
2020-01-01 11:11:39.6060,2020-01-01 12:36:15.5260,Jersey & 6th St,Hamilton Park,casual,JC027,40.72528910781132,-74.04557168483734,JC009,40.727468014,-74.044262052
2020-01-01 11:11:40.8860,2020-01-01 12:36:18.1980,Jersey & 6th St,Hamilton Park,casual,JC027,40.72528910781132,-74.04557168483734,JC009,40.727468014,-74.044262052
2020-01-01 11:12:30.2180,2020-01-01 11:26:44.0940,Brunswick & 6th,Riverview Park,member,JC081,40.726179719,-74.050368905,JC057,40.74473989,-74.043800712
2020-01-01 11:18:01.8800,2020-01-01 11:21:25.6660,Paulus Hook,Morris Canal,member,JC002,40.714207768,-74.033581614,JC072,40.712296724,-74.038184762
2020-01-01 11:24:52.7080,2020-01-01 11:30:00.1720,JC Medical Center,Warren St,member,JC110,40.71539114317,-74.04969155788422,JC006,40.7211236,-74.03805095
2020-01-01 11:26:38.5480,2020-01-01 11:31:04.3330,Paulus Hook,Columbus Drive,member,JC002,40.714207768,-74.033581614,JC014,40.718622446,-74.038507938
2020-01-01 11:28:21.8710,2020-01-01 11:31:54.5060,Marin Light Rail,Paulus Hook,member,JC013,40.71458403535893,-74.04281705617905,JC002,40.714207768,-74.033581614
2020-01-01 11:30:23.8140,2020-01-01 11:37:40.2800,Grand St,Newport PATH,member,JC102,40.714990735,-74.037752509,JC066,40.727172375,-74.033681631
2020-01-01 11:30:23.9870,2020-01-01 11:37:38.1200,Grand St,Newport PATH,member,JC102,40.714990735,-74.037752509,JC066,40.727172375,-74.033681631
2020-01-01 11:31:16.6730,2020-01-01 11:38:19.0480,Dixon Mills,Jersey & 6th St,member,JC076,40.721630142638354,-74.04996782541275,JC027,40.72528910781132,-74.04557168483734
2020-01-01 11:34:02.8950,2020-01-01 11:40:41.0830,Washington St,Columbus Dr at Exchange Pl,casual,JC098,40.724321604,-74.035570741,,,
2020-01-01 11:34:03.0600,2020-01-01 11:40:42.9160,Washington St,Columbus Dr at Exchange Pl,casual,JC098,40.724321604,-74.035570741,,,
2020-01-01 11:34:12.0010,2020-01-01 11:41:04.6610,Washington St,Columbus Dr at Exchange Pl,casual,JC098,40.724321604,-74.035570741,,,
2020-01-01 11:34:25.8170,2020-01-01 11:40:35.8840,Washington St,Columbus Dr at Exchange Pl,casual,JC098,40.724321604,-74.035570741,,,
2020-01-01 11:38:15.7650,2020-01-01 11:40:10.1510,Warren St,Manila & 1st,member,JC006,40.7211236,-74.03805095,JC082,40.72165072487999,-74.04288411140442
2020-01-01 11:38:28.4470,2020-01-01 11:56:40.7290,Jersey & 6th St,Jersey & 3rd,member,JC027,40.72528910781132,-74.04557168483734,JC074,40.72333158646436,-74.04595255851744
2020-01-01 11:38:43.4350,2020-01-01 11:52:05.0580,Brunswick & 6th,Grand St,member,JC081,40.726179719,-74.050368905,JC102,40.714990735,-74.037752509
2020-01-01 11:39:36.3190,2020-01-01 11:52:05.1360,Brunswick & 6th,Grand St,member,JC081,40.726179719,-74.050368905,JC102,40.714990735,-74.037752509
2020-01-01 11:40:33.5150,2020-01-01 11:44:15.7740,Harborside,Grand St,member,JC104,40.7192517,-74.034234,JC102,40.714990735,-74.037752509
